region,locality,restaurantCount
CA,http://www.wikidata.org/entity/Q3472617,1
CA,Redondo Beach,1
CA,http://www.wikidata.org/entity/Q1961737,1
CA,http://www.wikidata.org/entity/Q495365,1
CA,Marina Del Rey,1
CA,http://www.wikidata.org/entity/Q485176,1
CA,http://www.wikidata.org/entity/Q1015546,1
CA,http://www.wikidata.org/entity/Q494723,1
CA,http://www.wikidata.org/entity/Q490434,1
CA,http://www.wikidata.org/entity/Q585026,1
CO,http://www.wikidata.org/entity/Q1959011,4
CO,http://www.wikidata.org/entity/Q3495113,1
CO,http://www.wikidata.org/entity/Q2084124,1
CO,http://www.wikidata.org/entity/Q490732,1
CO,http://www.wikidata.org/entity/Q4263896,1
CO,Idaho Springs,1
CO,http://www.wikidata.org/entity/Q266438,1
CO,Berthoud,1
CO,http://www.wikidata.org/entity/Q590849,1
CT,http://www.wikidata.org/entity/Q66568,2
CT,http://www.wikidata.org/entity/Q614184,1
CT,East Granby,1
CT,http://www.wikidata.org/entity/Q16873126,1
CT,http://www.wikidata.org/entity/Q323432,1
CT,Shelton,1
CT,Hamden,1
CT,http://www.wikidata.org/entity/Q591415,1
CT,http://www.wikidata.org/entity/Q1025577,1
CT,http://www.wikidata.org/entity/Q669171,1
CT,Danbury,1
CT,Pawcatuck,1
Camroden,http://www.wikidata.org/entity/Q5582862,1
Carpolis,http://www.wikidata.org/entity/Q122568174,1
Cascade,http://www.wikidata.org/entity/Q184587,1
Cherry Hill Township,http://www.wikidata.org/entity/Q5092370,1
Cherry Hl Vlg,http://www.wikidata.org/entity/Q49349734,1
Chevy Chs Vlg,http://www.wikidata.org/entity/Q114958293,1
Choconut Center,Binghamton,1
Chupadero,http://www.wikidata.org/entity/Q5620819,1
Cimarron Hills,http://www.wikidata.org/entity/Q49258,1
City Of Spokane Valley,http://www.wikidata.org/entity/Q187805,1
City Of Wb,Wilkes Barre,1
Clarkson Valley,http://www.wikidata.org/entity/Q1924516,1
Clover Bottom,http://www.wikidata.org/entity/Q939412,1
Co Spgs,http://www.wikidata.org/entity/Q49258,1
Collings Lakes,http://www.wikidata.org/entity/Q2581297,1
Colorado Spgs,http://www.wikidata.org/entity/Q49258,1
Country Life Acres,http://www.wikidata.org/entity/Q273779,1
Crestview Heights,http://www.wikidata.org/entity/Q2736433,2
Cushing,http://www.wikidata.org/entity/Q122543322,1
DC,http://www.wikidata.org/entity/Q939412,3
DE,http://www.wikidata.org/entity/Q576212,2
DE,http://www.wikidata.org/entity/Q1983435,1
DE,http://www.wikidata.org/entity/Q304801,1
Dania Beach,Fort Lauderdale,1
Darrtown,http://www.wikidata.org/entity/Q539085,1
Davidsburg,http://www.wikidata.org/entity/Q179224,1
Deephaven,http://www.wikidata.org/entity/Q3642344,1
Deerfield Beach,http://www.wikidata.org/entity/Q671458,1
Drexelbrook,http://www.wikidata.org/entity/Q1132763,1
East Haven,http://www.wikidata.org/entity/Q139694,1
East Htfd,East Hartford,1
Echelon,Voorhees,1
Edmund,http://www.wikidata.org/entity/Q49241,2
Elmhurst,http://www.wikidata.org/entity/Q112275316,1
Elnora,http://www.wikidata.org/entity/Q123206185,1
Evesham Twp,http://www.wikidata.org/entity/Q122563468,1
FL,http://www.wikidata.org/entity/Q3287523,3
FL,http://www.wikidata.org/entity/Q25019041,2
FL,Altamonte Springs,2
FL,http://www.wikidata.org/entity/Q606900,2
FL,Miami,2
FL,http://www.wikidata.org/entity/Q579986,1
FL,http://www.wikidata.org/entity/Q1752035,1
FL,http://www.wikidata.org/entity/Q122543634,1
FL,http://www.wikidata.org/entity/Q244146,1
FL,Miami Beach,1
FL,http://www.wikidata.org/entity/Q122543573,1
FL,Broward County,1
FL,http://www.wikidata.org/entity/Q122566290,1
FL,Lehigh Acres,1
FL,Kissimmee,1
FL,http://www.wikidata.org/entity/Q656,1
FL,http://www.wikidata.org/entity/Q31905808,1
FL,http://www.wikidata.org/entity/Q122593607,1
FL,Palm Coast,1
FL,http://www.wikidata.org/entity/Q234453,1
FL,Alachua,1
FL,http://www.wikidata.org/entity/Q883362,1
FL,http://www.wikidata.org/entity/Q671458,1
FL,Destin,1
FL,http://www.wikidata.org/entity/Q4883828,1
FL,Bradenton Beach,1
FL,http://www.wikidata.org/entity/Q133073,1
FL,http://www.wikidata.org/entity/Q122561788,1
FL,Sarasota,1
FL,http://www.wikidata.org/entity/Q1878805,1
FL,Stuart,1
Fair Haven,http://www.wikidata.org/entity/Q3473062,1
Fairmont,http://www.wikidata.org/entity/Q43196,1
Fayson Lakes,http://www.wikidata.org/entity/Q1086677,1
Fire Island Pines,http://www.wikidata.org/entity/Q122566828,1
Fmy,http://www.wikidata.org/entity/Q2443674,1
Fort Dearborn,http://www.wikidata.org/entity/Q1297,1
Fort Devens,http://www.wikidata.org/entity/Q2802663,1
Fox Rv Vly Gn,http://www.wikidata.org/entity/Q1086411,1
Framingham So,http://www.wikidata.org/entity/Q49350460,2
Fredon Twp,http://www.wikidata.org/entity/Q64947551,1
Friendsville,http://www.wikidata.org/entity/Q6024929,1
Fruitville,Schwenksville,1
Ft Lauderdale,Fort Lauderdale,1
G P O,http://www.wikidata.org/entity/Q5083,1
GA,http://www.wikidata.org/entity/Q4815973,3
GA,Duluth,2
GA,Lawrenceville,1
GA,http://www.wikidata.org/entity/Q81200,1
GA,http://www.wikidata.org/entity/Q122540151,1
GA,Mcdonough,1
GA,http://www.wikidata.org/entity/Q203263,1
GA,Perry,1
GA,Americus,1
GA,http://www.wikidata.org/entity/Q3398703,1
Gilgo Beach,http://www.wikidata.org/entity/Q1750870,1
Glendale,http://www.wikidata.org/entity/Q37836,2
Groesbeck,http://www.wikidata.org/entity/Q43196,1
Grove,http://www.wikidata.org/entity/Q2907034,1
Guilford Courthouse National,http://www.wikidata.org/entity/Q5604470,2
HI,Kamuela,1
Hamilton Twp,http://www.wikidata.org/entity/Q2739754,1
Hanes,http://www.wikidata.org/entity/Q49227,1
Harristown,http://www.wikidata.org/entity/Q7134186,1
Hassan,http://www.wikidata.org/entity/Q122591986,1
Hbg Inter Airp,http://www.wikidata.org/entity/Q304801,1
Holly Ridge,http://www.wikidata.org/entity/Q2314639,1
Hollywood Park,http://www.wikidata.org/entity/Q1005259,1
Honey Creek,Jefferson City,1
Hono,http://www.wikidata.org/entity/Q18094,4
Howard,Green Bay,1
Htfd,http://www.wikidata.org/entity/Q7018233,1
Htfd,http://www.wikidata.org/entity/Q33486,1
Huetter,Coeur D Alene,1
IA,http://www.wikidata.org/entity/Q913495,1
IA,Grinnell,1
IA,http://www.wikidata.org/entity/Q39709,1
IA,Sioux City,1
IA,http://www.wikidata.org/entity/Q26887,1
ID,http://www.wikidata.org/entity/Q1938713,1
ID,http://www.wikidata.org/entity/Q35775,1
IL,Bolingbrook,2
IL,Homer Glen,2
IL,http://www.wikidata.org/entity/Q1297,2
IL,Addison,2
IL,Peoria Heights,1
IL,http://www.wikidata.org/entity/Q456,1
IL,http://www.wikidata.org/entity/Q122539170,1
IL,http://www.wikidata.org/entity/Q6558990,1
IL,Minooka,1
IL,http://www.wikidata.org/entity/Q5576365,1
IL,http://www.wikidata.org/entity/Q3642328,1
IL,http://www.wikidata.org/entity/Q122546685,1
IL,http://www.wikidata.org/entity/Q115666834,1
IL,Chicago Ridge,1
IL,Tinley Park,1
IL,http://www.wikidata.org/entity/Q10884851,1
IL,http://www.wikidata.org/entity/Q729006,1
IL,http://www.wikidata.org/entity/Q135615,1
IL,http://www.wikidata.org/entity/Q112459554,1
IL,http://www.wikidata.org/entity/Q867573,1
IL,http://www.wikidata.org/entity/Q5569384,1
IL,http://www.wikidata.org/entity/Q100251905,1
IL,Urbana,1
IL,Vernon Hills,1
IL,http://www.wikidata.org/entity/Q575855,1
IL,http://www.wikidata.org/entity/Q841074,1
IL,http://www.wikidata.org/entity/Q51686,1
IL,Wheeling,1
IL,http://www.wikidata.org/entity/Q7126802,1
IL,North Aurora,1
IL,http://www.wikidata.org/entity/Q1506047,1
IL,Lombard,1
IL,http://www.wikidata.org/entity/Q927243,1
IN,http://www.wikidata.org/entity/Q6346,4
IN,http://www.wikidata.org/entity/Q4928330,2
IN,Fishers,1
IN,http://www.wikidata.org/entity/Q128891,1
IN,Schererville,1
Islip Manor,Islip,2
Jackson Hole,http://www.wikidata.org/entity/Q2890672,1
Joppatowne,http://www.wikidata.org/entity/Q180294,1
Juanita,http://www.wikidata.org/entity/Q1362758,1
KS,http://www.wikidata.org/entity/Q128349,2
KS,http://www.wikidata.org/entity/Q593022,1
KS,http://www.wikidata.org/entity/Q492805,1
KY,http://www.wikidata.org/entity/Q20714826,2
KY,Bowling Green,1
KY,http://www.wikidata.org/entity/Q1020984,1
Kingsgate,http://www.wikidata.org/entity/Q1362758,2
LA,http://www.wikidata.org/entity/Q34404,2
LA,http://www.wikidata.org/entity/Q128891,2
LA,Farmerville,1
LA,http://www.wikidata.org/entity/Q122592761,1
LA,http://www.wikidata.org/entity/Q130624,1
LA,Bossier City,1
La Conchita,http://www.wikidata.org/entity/Q490434,1
Lake Mahopac,http://www.wikidata.org/entity/Q122557760,1
Larimers Corner,Snohomish,1
Lawrenceville,Lawrence Township,1
Longview,http://www.wikidata.org/entity/Q5751223,2
Los Feliz,http://www.wikidata.org/entity/Q16910,1
MA,Newton Highlands,1
MA,http://www.wikidata.org/entity/Q14875734,1
MA,http://www.wikidata.org/entity/Q122547032,1
MA,http://www.wikidata.org/entity/Q986654,1
MA,http://www.wikidata.org/entity/Q1626326,1
MA,http://www.wikidata.org/entity/Q122596042,1
MA,http://www.wikidata.org/entity/Q4054752,1
MA,Hadley,1
MA,Peabody,1
MA,http://www.wikidata.org/entity/Q5491176,1
MA,http://www.wikidata.org/entity/Q387419,1
MA,http://www.wikidata.org/entity/Q122544033,1
MA,http://www.wikidata.org/entity/Q2928514,1
MA,Gardner,1
MA,http://www.wikidata.org/entity/Q122565533,1
MA,Hopkinton,1
MA,http://www.wikidata.org/entity/Q1084814,1
MA,Dennis Port,1
MA,http://www.wikidata.org/entity/Q122544309,1
MA,http://www.wikidata.org/entity/Q311975,1
MA,http://www.wikidata.org/entity/Q5221324,1
MA,http://www.wikidata.org/entity/Q161491,1
MA,Medway,1
MA,http://www.wikidata.org/entity/Q49350460,1
MA,http://www.wikidata.org/entity/Q2577621,1
MA,http://www.wikidata.org/entity/Q1101670,1
MA,Pittsfield,1
MA,http://www.wikidata.org/entity/Q49142,1
MD,http://www.wikidata.org/entity/Q805740,2
MD,http://www.wikidata.org/entity/Q559147,2
MD,http://www.wikidata.org/entity/Q948129,2
MD,http://www.wikidata.org/entity/Q165941,1
MD,Cockeysville,1
MD,Sykesville,1
MD,http://www.wikidata.org/entity/Q122543225,1
MD,http://www.wikidata.org/entity/Q397905,1
MD,http://www.wikidata.org/entity/Q992432,1
MD,Frostburg,1
ME,http://www.wikidata.org/entity/Q1663450,1
ME,http://www.wikidata.org/entity/Q743521,1
ME,http://www.wikidata.org/entity/Q864688,1
ME,http://www.wikidata.org/entity/Q1994665,1
ME,http://www.wikidata.org/entity/Q2474186,1
MI,White Lake,1
MI,Dearborn,1
MI,http://www.wikidata.org/entity/Q7059875,1
MI,Bronson,1
MI,http://www.wikidata.org/entity/Q580766,1
MI,http://www.wikidata.org/entity/Q34789154,1
MI,http://www.wikidata.org/entity/Q2738868,1
MI,http://www.wikidata.org/entity/Q486479,1
MI,http://www.wikidata.org/entity/Q79867,1
MI,http://www.wikidata.org/entity/Q7570790,1
MI,Petoskey,1
MI,http://www.wikidata.org/entity/Q486329,1
MI,http://www.wikidata.org/entity/Q2720533,1
MI,Wyoming,1
MI,http://www.wikidata.org/entity/Q2326854,1
MN,http://www.wikidata.org/entity/Q36091,5
MN,http://www.wikidata.org/entity/Q486479,3
MN,Detroit Lakes,2
MN,Mankato,2
MN,http://www.wikidata.org/entity/Q2887,1
MN,Sartell,1
MO,http://www.wikidata.org/entity/Q273779,3
MO,Arnold,1
MO,http://www.wikidata.org/entity/Q486472,1
MO,Camdenton,1
MS,http://www.wikidata.org/entity/Q5742232,1
MS,Hattiesburg,1
MS,http://www.wikidata.org/entity/Q539085,1
MT,Missoula,3
MT,Bozeman,1
MT,http://www.wikidata.org/entity/Q166304,1
Macomb Twp,Macomb,1
Magnolia,http://www.wikidata.org/entity/Q5083,1
Malba,Whitestone,1
Manhattan,http://www.wikidata.org/entity/Q5083,7
Manhattanville,http://www.wikidata.org/entity/Q5083,1
Manor Ridge,http://www.wikidata.org/entity/Q205905,2
Marble Cliff,http://www.wikidata.org/entity/Q239870,1
Margate,Margate City,1
Matthewstown,Kernersville,2
Mayfield Hts,http://www.wikidata.org/entity/Q37320,1
Mckownville,http://www.wikidata.org/entity/Q704257,1
Miami,North Miami Beach,1
Midtown,http://www.wikidata.org/entity/Q1983435,1
Montville Township,Montville,1
Mormon Island,Folsom,1
Mount Laurel Township,Mount Laurel,2
Mount Ross,Pine Plains,1
Mozart,Wheeling,1
Mphs,http://www.wikidata.org/entity/Q3322233,2
Murdock,http://www.wikidata.org/entity/Q590147,1
Murfreesbr,http://www.wikidata.org/entity/Q501766,1
N Egremont,Great Barrington,1
N Haven,http://www.wikidata.org/entity/Q100252003,1
NC,Wilson,2
NC,http://www.wikidata.org/entity/Q16565,2
NC,http://www.wikidata.org/entity/Q16892254,1
NC,Wake Forest,1
NC,http://www.wikidata.org/entity/Q34692,1
NC,http://www.wikidata.org/entity/Q7355375,1
NC,http://www.wikidata.org/entity/Q2962785,1
NC,http://www.wikidata.org/entity/Q5092112,1
NC,http://www.wikidata.org/entity/Q7286876,1
ND,Grand Forks,1
NE,http://www.wikidata.org/entity/Q7089392,2
NE,http://www.wikidata.org/entity/Q994000,1
NE,http://www.wikidata.org/entity/Q180057,1
NE,http://www.wikidata.org/entity/Q967547,1
NE,http://www.wikidata.org/entity/Q49220,1
NH,http://www.wikidata.org/entity/Q172438,1
NH,http://www.wikidata.org/entity/Q1025577,1
NH,http://www.wikidata.org/entity/Q72259,1
NJ,http://www.wikidata.org/entity/Q323432,2
NJ,Sicklerville,1
NJ,http://www.wikidata.org/entity/Q28103400,1
NJ,Whitehouse Station,1
NJ,http://www.wikidata.org/entity/Q122594539,1
NJ,http://www.wikidata.org/entity/Q122565821,1
NJ,Weehawken,1
NJ,http://www.wikidata.org/entity/Q7059352,1
NJ,http://www.wikidata.org/entity/Q1088847,1
NJ,http://www.wikidata.org/entity/Q3047558,1
NJ,Cliffside Park,1
NJ,http://www.wikidata.org/entity/Q7637751,1
NJ,http://www.wikidata.org/entity/Q122543473,1
NJ,East Brunswick,1
NJ,Maple Shade,1
NJ,Merchantville,1
NJ,Paramus,1
NJ,Hackettstown,1
NJ,Montclair,1
NJ,Berkeley Heights,1
NJ,E Windsor,1
NJ,http://www.wikidata.org/entity/Q2979102,1
NJ,Moorestown,1
NJ,Whippany,1
NJ,Califon,1
NJ,Little Ferry,1
NJ,http://www.wikidata.org/entity/Q1883378,1
NJ,http://www.wikidata.org/entity/Q66010,1
NJ,http://www.wikidata.org/entity/Q1086117,1
NJ,New Brunswick,1
NJ,http://www.wikidata.org/entity/Q128891,1
NJ,http://www.wikidata.org/entity/Q6914103,1
NJ,http://www.wikidata.org/entity/Q939154,1
NJ,http://www.wikidata.org/entity/Q1830661,1
NJ,Mine Hill,1
NM,http://www.wikidata.org/entity/Q34804,1
NV,http://www.wikidata.org/entity/Q17636479,6
NV,http://www.wikidata.org/entity/Q3784796,3
NY,http://www.wikidata.org/entity/Q929327,5
NY,Bronx,3
NY,http://www.wikidata.org/entity/Q65408242,2
NY,http://www.wikidata.org/entity/Q49370797,2
NY,http://www.wikidata.org/entity/Q3473025,2
NY,http://www.wikidata.org/entity/Q5083,1
NY,Waverly,1
NY,http://www.wikidata.org/entity/Q1020800,1
NY,http://www.wikidata.org/entity/Q15227306,1
NY,New City,1
NY,http://www.wikidata.org/entity/Q274120,1
NY,Nanuet,1
NY,Centereach,1
NY,http://www.wikidata.org/entity/Q486479,1
NY,Grand Island,1
NY,http://www.wikidata.org/entity/Q123206904,1
NY,http://www.wikidata.org/entity/Q385934,1
NY,Pound Ridge,1
NY,http://www.wikidata.org/entity/Q6665728,1
NY,Pearl River,1
NY,Fort Montgomery,1
NY,Massapequa Park,1
NY,http://www.wikidata.org/entity/Q3569822,1
Naples,http://www.wikidata.org/entity/Q6672259,2
New York City,http://www.wikidata.org/entity/Q5083,1
Nlr,http://www.wikidata.org/entity/Q7495482,1
No Bethesda,http://www.wikidata.org/entity/Q7355625,3
No Natick,Natick,1
No Providence,http://www.wikidata.org/entity/Q7252354,1
Norland Park,http://www.wikidata.org/entity/Q1922703,1
North Glenn,http://www.wikidata.org/entity/Q1959011,1
North Redington Beach,http://www.wikidata.org/entity/Q656,1
North White Plains,http://www.wikidata.org/entity/Q49370797,1
Ny,http://www.wikidata.org/entity/Q5083,1
Nyc,http://www.wikidata.org/entity/Q5083,11
OH,http://www.wikidata.org/entity/Q239870,3
OH,http://www.wikidata.org/entity/Q14875028,2
OH,Hilliard,1
OH,http://www.wikidata.org/entity/Q122551903,1
OH,http://www.wikidata.org/entity/Q805740,1
OH,http://www.wikidata.org/entity/Q1776774,1
OH,http://www.wikidata.org/entity/Q3708897,1
OH,http://www.wikidata.org/entity/Q31812496,1
OH,http://www.wikidata.org/entity/Q2236684,1
OH,N Olmsted,1
OH,Wapakoneta,1
OH,Strongsville,1
OH,Reynoldsburg,1
OH,North Olmsted,1
OH,Rossford,1
OH,http://www.wikidata.org/entity/Q43196,1
OH,http://www.wikidata.org/entity/Q6479210,1
OH,http://www.wikidata.org/entity/Q163132,1
OH,http://www.wikidata.org/entity/Q122594035,1
OK,http://www.wikidata.org/entity/Q34863,2
OK,Chickasha,1
OK,Mustang,1
OK,Duncan,1
OK,Edmond,1
OK,http://www.wikidata.org/entity/Q44989,1
OR,http://www.wikidata.org/entity/Q497793,3
OR,http://www.wikidata.org/entity/Q1663450,3
OR,http://www.wikidata.org/entity/Q1022295,3
OR,http://www.wikidata.org/entity/Q4878266,1
OR,http://www.wikidata.org/entity/Q1750378,1
OR,Corvallis,1
OR,http://www.wikidata.org/entity/Q704257,1
Oak Park Hts,http://www.wikidata.org/entity/Q7617269,1
Oella,Ellicott City,1
Oldtown,http://www.wikidata.org/entity/Q49227,1
Olivenhain,Encinitas,2
Ontario Street,http://www.wikidata.org/entity/Q1297,1
PA,http://www.wikidata.org/entity/Q1535165,9
PA,http://www.wikidata.org/entity/Q234061,2
PA,http://www.wikidata.org/entity/Q122552405,2
PA,State College,2
PA,King Of Prussia,2
PA,http://www.wikidata.org/entity/Q122564680,1
PA,http://www.wikidata.org/entity/Q1087483,1
PA,Canonsburg,1
PA,http://www.wikidata.org/entity/Q122594136,1
PA,Lansdale,1
PA,http://www.wikidata.org/entity/Q3461864,1
PA,http://www.wikidata.org/entity/Q8022319,1
PA,http://www.wikidata.org/entity/Q49356816,1
PA,Mckeesport,1
PA,http://www.wikidata.org/entity/Q209126,1
PA,http://www.wikidata.org/entity/Q1085875,1
PA,Downingtown,1
PA,http://www.wikidata.org/entity/Q755397,1
PA,http://www.wikidata.org/entity/Q1245018,1
PA,http://www.wikidata.org/entity/Q135615,1
PA,http://www.wikidata.org/entity/Q122550749,1
PA,http://www.wikidata.org/entity/Q6147593,1
Palmer,Crown Point,1
Pamrapo,http://www.wikidata.org/entity/Q122589495,2
Paradise Park,http://www.wikidata.org/entity/Q3472617,1
Park Hills,http://www.wikidata.org/entity/Q2118826,1
Pembroke Pnes,http://www.wikidata.org/entity/Q234453,1
Phila,http://www.wikidata.org/entity/Q1535165,1
Pitt,http://www.wikidata.org/entity/Q1342,3
Pleasant Valley,http://www.wikidata.org/entity/Q49225,1
Pleasantdale,http://www.wikidata.org/entity/Q2738238,1
Pls Vrds Est,Rancho Palos Verdes,1
Prt Jefferson,Port Jefferson,1
Queen City,South Burlington,1
Queens,Long Island City,2
Queens,Astoria,2
Queens,http://www.wikidata.org/entity/Q33512335,1
Queensgate,Bothell,1
Quincy Center,Quincy,1
RI,http://www.wikidata.org/entity/Q101254,2
RI,http://www.wikidata.org/entity/Q755149,2
RI,East Greenwich,2
RI,http://www.wikidata.org/entity/Q304801,1
RI,West Warwick,1
RI,http://www.wikidata.org/entity/Q180057,1
Rahns,http://www.wikidata.org/entity/Q25001242,1
Randallsville,http://www.wikidata.org/entity/Q133116,1
Ritz,http://www.wikidata.org/entity/Q1512154,1
Riverchase,http://www.wikidata.org/entity/Q79867,1
Riverton,http://www.wikidata.org/entity/Q122593647,1
Rivervale,http://www.wikidata.org/entity/Q7989847,2
Rockville,Vernon Rockville,1
Rockville Center,Rockville Centre,1
Ruscombmanor Twp,http://www.wikidata.org/entity/Q1012507,1
S Connelsvl,Connellsville,1
SC,Hilton Head Island,2
SC,http://www.wikidata.org/entity/Q2960780,1
SC,http://www.wikidata.org/entity/Q97927338,1
SC,Myrtle Beach,1
SC,http://www.wikidata.org/entity/Q976490,1
SC,http://www.wikidata.org/entity/Q3886500,1
SC,http://www.wikidata.org/entity/Q2044,1
SC,http://www.wikidata.org/entity/Q205905,1
SC,Bennettsville,1
SD,http://www.wikidata.org/entity/Q131335,1
Saint Andrews,http://www.wikidata.org/entity/Q2960780,1
Saint Anne,http://www.wikidata.org/entity/Q993064,1
Saint Davids,Wayne,1
Saint Pete Beach,http://www.wikidata.org/entity/Q656,1
Salt Lake Cty,http://www.wikidata.org/entity/Q116059033,2
San Marin,Novato,1
Santa Venetia,http://www.wikidata.org/entity/Q187898,1
Seabrook Island,Johns Island,1
Seacliff,Aptos,1
Shawnee Mission,Shawnee,1
Sheffield Village,Elyria,1
Sky Valley,Desert Hot Springs,1
So Yarmouth,South Yarmouth,1
South Bowie,Bowie,1
South St Paul,Inver Grove Heights,1
St Albans,http://www.wikidata.org/entity/Q6226,1
Strawberry Point,http://www.wikidata.org/entity/Q6858432,1
Sunrise,Fort Lauderdale,1
Syr,http://www.wikidata.org/entity/Q20590637,1
TN,http://www.wikidata.org/entity/Q23197,2
TN,Gatlinburg,1
TN,http://www.wikidata.org/entity/Q62,1
TN,http://www.wikidata.org/entity/Q1883378,1
TX,http://www.wikidata.org/entity/Q2872106,5
TX,http://www.wikidata.org/entity/Q2230568,5
TX,http://www.wikidata.org/entity/Q135615,4
TX,http://www.wikidata.org/entity/Q16557,3
TX,http://www.wikidata.org/entity/Q51694,2
TX,http://www.wikidata.org/entity/Q122594259,2
TX,http://www.wikidata.org/entity/Q695511,2
TX,Grapevine,2
TX,Southlake,2
TX,http://www.wikidata.org/entity/Q3814382,1
TX,http://www.wikidata.org/entity/Q485176,1
TX,http://www.wikidata.org/entity/Q982550,1
TX,http://www.wikidata.org/entity/Q51698,1
TX,http://www.wikidata.org/entity/Q5523400,1
TX,http://www.wikidata.org/entity/Q51696,1
TX,http://www.wikidata.org/entity/Q122557230,1
TX,http://www.wikidata.org/entity/Q48815046,1
TX,http://www.wikidata.org/entity/Q937718,1
TX,http://www.wikidata.org/entity/Q1005259,1
TX,Richardson,1
TX,http://www.wikidata.org/entity/Q128321,1
TX,http://www.wikidata.org/entity/Q16558,1
TX,Katy,1
TX,http://www.wikidata.org/entity/Q6077684,1
TX,http://www.wikidata.org/entity/Q2837875,1
TX,http://www.wikidata.org/entity/Q5759927,1
TX,http://www.wikidata.org/entity/Q1324441,1
Talladega Springs,Sylacauga,1
Togus,http://www.wikidata.org/entity/Q81200,1
Townley,Union,1
UT,http://www.wikidata.org/entity/Q6505706,2
UT,http://www.wikidata.org/entity/Q2118359,1
UT,Cedar City,1
Uptown,Hoboken,1
VA,Manassas,1
VA,http://www.wikidata.org/entity/Q2025520,1
VA,Henrico,1
VA,http://www.wikidata.org/entity/Q135615,1
VA,Harrisonburg,1
VA,http://www.wikidata.org/entity/Q8021145,1
VA,http://www.wikidata.org/entity/Q139694,1
VA,Blacksburg,1
VA,http://www.wikidata.org/entity/Q935402,1
